"Part";"Value";"Device";"Package";"Description";"URL";
"ADAFRUIT-KB2040";"Adafruit KB2040";"SPARKFUN_PRO_MICRO";"SPARKFUN_PRO_MICRO";"SparkFun Pro Micro";"https://www.adafruit.com/product/5302";
"D1";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D2";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D3";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D4";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D5";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D6";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D7";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D8";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D9";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D10";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D11";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D12";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D13";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D14";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D15";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"D16";"";"DIODESOD-123";"SOD-123";"Diode";"https://www.adafruit.com/product/5099";
"U$1";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$2";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$3";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$4";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$5";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$6";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$7";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$8";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$9";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$10";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$11";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$12";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$13";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$14";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$15";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
"U$16";"CHERRY-MX";"CHERRY-MX";"CHERRY-MX";"Cherry MX series keyswitch";"https://www.adafruit.com/product/5122";
